Category, Points, Question, Answer
Note, Note, Note, Note, Only read this file if you do not intend to play jeopardy, in which case, scroll down.
Note, Note, Note, Note, Use ﹐ U+FE50 SMALL COMMA (sparingly) when you absolutely must write a comma without disrupting the CSV format




































































Acronyms, 200, DDNS, Distributed Denial of Service
Acronyms, 400, DHCP, Dynamic Host Configuration Protocol
Acronyms, 600, GNU (recursion permitted), GNU’s Not Unix
Acronyms, 800, DNF (answer should include no acronyms), DNF -> Dandified YUM -> Dandified Yellowdog Updater Modifier
Acronyms, 1000, VAX, Virtual Address eXtension

Jargon File, 200, This kind of program can be written in one line of C (main() {for(;;)fork();}) or shell ($0 & $0 &), Forkbomb
Jargon File, 400, The command interpreter used to pass commands to an operating system; so called because it is the part of the operating system that interfaces with the outside world., Shell
Jargon File, 600, A language based on the ideas of (a) variable-length lists and trees as fundamental data types and (b) the interpretation of code as data and vice-versa., LISP
Jargon File, 800, A clever programming trick intended to solve a particular nasty case in an expedient–if unclear–manner. Often used to repair bugs. Often involves ad-hockery, Kludge or kluge
Jargon File, 1000, Eponymous law that software and the organization of the software team will be congruent; commonly stated as "If you have four groups working on a compiler you'll get a 4-pass compiler", Conway’s Law

Distrowars, 200, This distribution is the oldest one that is still maintained, Slackware
Distrowars, 400, This discontinued OS was based on Research Unix and is developed and distributed by the Computer Systems Research Group at a prominent university in California, BSD
Distrowars, 600, This previous name for the now Raspberry Pi OS is a word play on the platform and the distribution it was derived from, Raspbian
Distrowars, 800, It was first developed at the Korea Computer Center and is largely used by North Koreans, Red Star OS
Distrowars, 1000, This distro is built from the source code of Red Hat Enterprise Linux and is used on the desktops on the 3rd floor undergraduate lounge in ECEB (though none of them boot), AlmaLinux

UNIX powertools,200,Test if files are identical,diff file0 file1 && echo ‘identical’ || echo ‘not identical’
UNIX powertools,400,Use GNU tar to extract a compressed archive verbosely,tar xzvf
UNIX powertools,600,Use rsync to copy the directory "work" to a new directory named "work_backup" in the remote host "remote",rsync -avz work/ remote:work_backup # note the answer must contain the trailing slash on work
UNIX powertools,800,Your photo album is taking up too much space; reencode file.jpg file in the current directory at a higher compression level,convert file.jpg -quality 80% file_compressed.jpg ; rm file.jpg # Note convert cannot read and write to the same file. Accept any quality reduction in place of 80%
UNIX powertools,1000,Apply a command $cmd (perhaps the one from CLI 800) to every *.jpg file in a directory,find . -name ‘*.jpg’ -exec $cmd \; or ls *.jpg | xargs -n 1 $cmd

That’s not POSIX,200,When a C function returns NULL on error it will often use this to indicate what kind of error occurred,errno
That’s not POSIX,400,POSIX incompliant implementation of POSIX commands that most Linuxes use,GNU Coreutils
That’s not POSIX,600,Two of these characters where the shell expects a conditional invokes a POSIX incompliant feature of Bash,[Square] brackets
That’s not POSIX,800,Most popular implementation of the C standard POSIX library "with extensions" for Linux,GNU Libc or glibc
That’s not POSIX,1000,Give a POSIX incompliant non-empty path; try to think about what would confuse a C programmer,Answer must contain ASCII null byte

Name the GLUGger, 200, This GLUGger owns a piece of Free Software Foundation apparel, Russel
Name the GLUGger, 400, This former head of the FSF visited UIUC GLUG a while ago, Richard Stallman aka RMS
